intensity,readability,perplexity,lex_diversity
4,35.32347826086959,51.25115966796875,0.5439024390243903
5,-15.709851485148505,571.1939086914062,0.6402877697841727
1,1.2794883388862672,274.3426818847656,0.6475
2,-29.16330985915488,217.35702514648438,0.7361563517915309
3,-35.158539419087106,508.3853759765625,0.7896825396825397
4,12.90136363636367,768.54296875,0.6120481927710844
5,40.67974489795921,13.346650123596191,0.4875
1,0.323482517482546,28.19202423095703,0.5705329153605015
2,-98.9846466345648,821.5239868164062,0.19443355546844374
3,4.080294117647071,557.6967163085938,0.5759599332220368
4,16.370628109452753,110.47235870361328,0.6072423398328691
5,-28.45881136950902,276.5079650878906,0.7222222222222222
1,26.49312500000002,292.07635498046875,0.6878612716763006
2,7.449641693811117,374.5345153808594,0.75625
3,10.549090909090921,177.55860900878906,0.776595744680851
4,-30.057132352941125,951.1436157226562,0.7633587786259542
5,7.894633767846074,421.1940612792969,0.6916890080428955
1,28.35437078651688,135.44459533691406,0.58311345646438
2,25.473702502316968,66.29425811767578,0.6109589041095891
3,-15.110830737279315,350.76165771484375,0.6498194945848376
4,21.6750187319885,80.13172149658203,0.5427807486631016
5,6.825075075075091,97.29534912109375,0.6492307692307693
1,8.749556865728437,206.86720275878906,0.5298804780876494
2,5.742454624027687,290.2220153808594,0.5995762711864406
3,-39.30765748031496,740.3350830078125,0.5633270321361059
4,39.73364603691641,11.31478500366211,0.48857142857142855
5,-75.79950956745455,760.0924072265625,0.44677871148459386
1,1.3680686274510379,716.1083984375,0.6959183673469388
2,21.714048672566392,696.5151977539062,0.49859943977591037
3,14.688506493506537,200.74794006347656,0.6592797783933518
4,25.425572519084,459.8612060546875,0.413151364764268
5,2.1668750000000045,480.9230651855469,0.6357466063348416
1,33.540734501347714,164.768310546875,0.6121951219512195
2,-12.139029187817243,437.47076416015625,0.6140776699029126
3,4.3247784810126575,381.95361328125,0.7786561264822134
4,-45.72094269596195,798.1143798828125,0.651270207852194
5,24.52694794952683,53.16112518310547,0.5730337078651685
1,7.984847600518833,265.23797607421875,0.5637707948243993
2,-63.9095833333333,658.2350463867188,0.5858585858585859
3,-8.20299242424241,228.7904510498047,0.650103519668737
4,-45.557522664979956,553.5752563476562,0.4926739926739927
5,-28.91982758620688,203.425048828125,0.7051282051282052
1,50.754142372204484,17.72068214416504,0.5027472527472527
2,34.74805174509464,74.92265319824219,0.5041666666666667
