intensity,readability,perplexity,lex_diversity,word_count,bleu
2,-13.4,138.2136993408203,0.6863270777479893,373,
3,-17.82,437.92510986328125,0.30160951714485656,1429,
4,15.0,30.335609436035156,0.6297376093294461,343,
5,9.39,425.41973876953125,0.7506925207756233,361,
1,45.46,33.60969543457031,0.603030303030303,330,
2,14.7,208.22361755371094,0.776566757493188,367,
3,40.38,22.801374435424805,0.564327485380117,342,
4,43.12,23.768171310424805,0.591304347826087,345,
5,-13.5,360.8893127441406,0.7359550561797753,356,
1,49.56,490.0393371582031,0.4815950920245399,652,
2,31.25,136.2653045654297,0.6504854368932039,412,
3,31.45,155.8662567138672,0.6857142857142857,350,
4,-1.28,501.25164794921875,0.4934640522875817,612,
5,-15.97,433.6076965332031,0.735202492211838,321,
1,-4.77,73.63394165039062,0.691699604743083,253,
2,-34.07,476.83978271484375,0.6681514476614699,449,
3,8.61,32.58220672607422,0.5304347826086957,345,
4,-10.56,50.155609130859375,0.6256684491978609,374,
5,8.3,50.44904327392578,0.628992628992629,407,
1,2.58,88.9355697631836,0.664756446991404,349,
2,-2.87,198.9154815673828,0.5549645390070922,564,
3,8.24,186.89463806152344,0.6963696369636964,303,
4,9.32,244.88650512695312,0.7121212121212122,396,
5,7.32,334.20391845703125,0.720626631853786,383,
1,12.8,379.9164733886719,0.7552870090634441,331,
2,24.38,664.1309814453125,0.6336898395721925,374,
3,23.26,317.35308837890625,0.5705394190871369,482,
4,-44.88,787.4992065429688,0.0932732819991283,6883,
5,-45.68,657.1524047851562,0.7101123595505618,445,
1,-2.91,192.50485229492188,0.6993006993006993,286,
2,0.18,263.6504211425781,0.7074626865671642,335,
3,-2.33,308.6184387207031,0.6982248520710059,338,
4,-37.01,613.2803955078125,0.7175572519083969,393,
5,-71.7,480.4632873535156,0.598019801980198,505,
1,-1.05,596.9192504882812,0.5228628230616302,503,
2,-106.51,593.3308715820312,0.3975757575757576,825,
3,19.81,24.225582122802734,0.47480106100795755,377,
4,-4.9,225.3401641845703,0.5433526011560693,346,
5,-89.63,637.9187622070312,0.4422202001819836,1099,
1,24.18,228.2160186767578,0.42492492492492495,666,
2,19.0,145.07205200195312,0.4507042253521127,639,
3,1.51,419.3743591308594,0.6009389671361502,426,
4,-3.65,385.7940368652344,0.72,300,
5,24.31,548.2381591796875,0.5914221218961625,443,
1,21.23,209.23802185058594,0.7204968944099379,322,
2,-10.07,588.6764526367188,0.5633608815426997,726,
3,7.97,444.75335693359375,0.655511811023622,508,
4,4.65,173.2427978515625,0.75,196,
5,-10.05,401.8105773925781,0.7216828478964401,309,
1,35.85,648.4974365234375,0.582901554404145,386,
2,1.5,212.85169982910156,0.6328358208955224,335,
3,-20.74,196.498046875,0.7110266159695817,263,
4,-15.83,268.0045471191406,0.7824773413897281,331,
5,-6.5,246.54122924804688,0.8127853881278538,219,
1,10.1,272.6972351074219,0.6621923937360179,447,
2,16.9,184.24240112304688,0.7441176470588236,340,
3,13.28,241.98065185546875,0.7575757575757576,297,
4,19.1,477.67999267578125,0.43820224719101125,623,
5,-26.52,659.86474609375,0.47858942065491183,794,
1,7.49,378.75738525390625,0.7071428571428572,420,
2,14.19,554.00537109375,0.5979381443298969,388,
3,9.22,409.1520080566406,0.656,375,
4,-132.45,593.177001953125,0.2631205673758865,1410,
5,15.61,709.444091796875,0.6666666666666666,423,
1,-35.97,384.52972412109375,0.6635160680529301,529,
2,5.5,254.7129669189453,0.6211180124223602,322,
3,-9.74,668.8130493164062,0.8296703296703297,182,
4,-2.6,657.79638671875,0.6070640176600441,453,
5,-10.18,538.157470703125,0.5728987993138936,583,
1,10.33,102.85005950927734,0.6107954545454546,352,
2,2.48,55.95365524291992,0.6704545454545454,264,
3,-18.68,408.8736877441406,0.7442455242966752,391,
4,3.33,62.11623001098633,0.6343612334801763,454,
5,-63.49,877.51904296875,0.2862862862862863,999,
1,-24.38,439.8697814941406,0.3462819089900111,901,
2,14.83,230.39088439941406,0.744408945686901,313,
3,-10.68,640.4197998046875,0.49113233287858116,733,
4,-7.68,397.037109375,0.7246049661399548,443,
5,-182.72,553.303955078125,0.07797340998922027,5566,
1,33.99,66.905517578125,0.6089108910891089,404,
2,-15.12,226.953369140625,0.7018633540372671,322,
3,-36.21,599.2109375,0.7645429362880887,361,
4,21.23,179.54824829101562,0.7023411371237458,299,
5,22.99,369.4149475097656,0.5680473372781065,507,
1,28.98,82.99349212646484,0.6686746987951807,332,
2,40.82,178.2532196044922,0.6491803278688525,305,
3,57.71,26.337478637695312,0.5549872122762148,391,
4,15.38,227.1046142578125,0.6392045454545454,352,
5,-39.17,477.6148376464844,0.4292237442922374,657,
1,-43.07,406.6953125,0.7417417417417418,333,
2,-18.58,384.3178405761719,0.7280453257790368,353,
3,-35.9,645.061767578125,0.76875,320,
4,-43.31,365.48773193359375,0.6417910447761194,670,
5,-27.47,853.5547485351562,0.7915194346289752,283,
1,20.52,222.0118865966797,0.6759776536312849,358,
2,5.6,547.3779907226562,0.43761996161228406,521,
3,9.72,41.657012939453125,0.6106194690265486,339,
4,-18.87,673.8516845703125,0.6645962732919255,322,
5,-48.42,671.4921875,0.6534446764091858,479,
1,-4.56,246.7574005126953,0.5718954248366013,612,
2,40.79,20.385986328125,0.5836177474402731,293,
3,18.22,163.65072631835938,0.6605504587155964,327,
4,1.3,480.2436218261719,0.3830439223697651,979,
5,-155.06,931.54052734375,0.620253164556962,632,
1,27.19,593.1911010742188,0.7441860465116279,215,
2,-13.76,903.0935668945312,0.48475909537856443,1017,
3,-12.64,822.411376953125,0.14694492254733219,4648,
4,-89.32,613.2324829101562,0.43383199079401613,869,
5,6.75,782.6136474609375,0.5590717299578059,474,
1,32.43,539.9714965820312,0.44858156028368795,564,
2,-9.84,774.0944213867188,0.597752808988764,445,
